Area [mm2]:  45332.0
Equivalent area diameter [mm]:  240.246737838
Center of mass [pixel]:  314 , 199
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,        120.0017,                               
  0.049087,      2.812,        120.1507,                               
  0.098175,      5.625,        120.5742,                               
  0.147262,      8.438,        120.3291,                               
  0.196350,     11.250,        120.4108,                               
  0.245437,     14.062,        120.6059,                               
  0.294524,     16.875,        120.9032,                               
  0.343612,     19.687,        121.0225,                               
  0.392699,     22.500,        120.8484,                               
  0.441786,     25.312,        120.9519,                               
  0.490874,     28.125,        121.0260,                               
  0.539961,     30.937,        120.9286,                               
  0.589049,     33.750,        121.0567,                               
  0.638136,     36.562,        120.8187,                               
  0.687223,     39.375,        120.7811,                               
  0.736311,     42.187,        121.0640,                               
  0.785398,     45.000,        120.9182,                               
  0.834486,     47.812,        121.0640,                               
  0.883573,     50.625,        120.7872,                               
  0.932660,     53.438,        120.7984,                               
  0.981748,     56.250,        120.9991,                               
  1.030835,     59.062,        120.9586,                               
  1.079922,     61.875,        121.0287,                               
  1.129010,     64.687,        121.0078,                               
  1.178097,     67.500,        120.8348,                               
  1.227185,     70.312,        120.9202,                               
  1.276272,     73.125,        120.9361,                               
  1.325359,     75.937,        120.6175,                               
  1.374447,     78.750,        120.3438,                               
  1.423534,     81.562,        120.3183,                               
  1.472622,     84.375,        120.5823,                               
  1.521709,     87.188,        120.1448,                               
  1.570796,     90.000,        120.0001,                               
  1.619884,     92.812,        120.1447,                               
  1.668971,     95.625,        120.5852,                               
  1.718058,     98.437,        120.3133,                               
  1.767146,    101.250,        120.3115,                               
  1.816233,    104.062,        120.5952,                               
  1.865321,    106.875,        120.4639,                               
  1.914408,    109.687,        120.4682,                               
  1.963495,    112.500,        120.3646,                               
  2.012583,    115.312,        120.6065,                               
  2.061670,    118.125,        120.5621,                               
  2.110758,    120.937,        120.3869,                               
  2.159845,    123.750,        120.3919,                               
  2.208932,    126.562,        120.1496,                               
  2.258020,    129.375,        120.0932,                               
  2.307107,    132.188,        120.3560,                               
  2.356194,    135.000,        120.2111,                               
  2.405282,    137.812,        120.3560,                               
  2.454369,    140.625,        120.0768,                               
  2.503457,    143.437,        120.0847,                               
  2.552544,    146.250,        120.1382,                               
  2.601631,    149.062,        120.0583,                               
  2.650719,    151.875,        120.0956,                               
  2.699806,    154.688,        120.1255,                               
  2.748893,    157.500,        119.9138,                               
  2.797981,    160.312,        119.9842,                               
  2.847068,    163.125,        119.9802,                               
  2.896156,    165.938,        119.5877,                               
  2.945243,    168.750,        119.3925,                               
  2.994330,    171.562,        119.3677,                               
  3.043418,    174.375,        119.5690,                               
  3.092505,    177.187,        119.1462,                               
  3.141593,    180.000,        119.0030,                               
  3.190680,    182.812,        119.1451,                               
  3.239767,    185.625,        119.5673,                               
  3.288855,    188.437,        119.2786,                               
  3.337942,    191.250,        119.2950,                               
  3.387030,    194.062,        119.5658,                               
  3.436117,    196.875,        119.5191,                               
  3.485204,    199.688,        119.6243,                               
  3.534292,    202.500,        119.4332,                               
  3.583379,    205.312,        119.6489,                               
  3.632467,    208.125,        119.6646,                               
  3.681554,    210.937,        119.5574,                               
  3.730641,    213.750,        119.6406,                               
  3.779729,    216.562,        119.3891,                               
  3.828816,    219.375,        119.3596,                               
  3.877903,    222.187,        119.6481,                               
  3.926991,    225.000,        119.5039,                               
  3.976078,    227.812,        119.6481,                               
  4.025166,    230.625,        119.3667,                               
  4.074253,    233.438,        119.3830,                               
  4.123340,    236.250,        119.6339,                               
  4.172428,    239.062,        119.5319,                               
  4.221515,    241.875,        119.7063,                               
  4.270603,    244.688,        119.6324,                               
  4.319690,    247.500,        119.4910,                               
  4.368777,    250.312,        119.6258,                               
  4.417865,    253.125,        119.5417,                               
  4.466952,    255.937,        119.5808,                               
  4.516039,    258.750,        119.3008,                               
  4.565127,    261.562,        119.2899,                               
  4.614214,    264.375,        119.5758,                               
  4.663301,    267.187,        119.1435,                               
  4.712389,    270.000,        119.0000,                               
  4.761477,    272.812,        119.1436,                               
  4.810564,    275.625,        119.5753,                               
  4.859651,    278.437,        119.3242,                               
  4.908739,    281.250,        119.4419,                               
  4.957826,    284.062,        119.6073,                               
  5.006913,    286.875,        120.0000,                               
  5.056001,    289.688,        119.9859,                               
  5.105088,    292.500,        119.9824,                               
  5.154175,    295.312,        120.1069,                               
  5.203263,    298.125,        120.1362,                               
  5.252350,    300.938,        119.9587,                               
  5.301437,    303.750,        120.2289,                               
  5.350525,    306.562,        120.0971,                               
  5.399612,    309.375,        120.0768,                               
  5.448700,    312.188,        120.3560,                               
  5.497787,    315.000,        120.2111,                               
  5.546875,    317.812,        120.3560,                               
  5.595962,    320.625,        120.0867,                               
  5.645049,    323.437,        120.1278,                               
  5.694137,    326.250,        120.3920,                               
  5.743224,    329.062,        120.3359,                               
  5.792312,    331.875,        120.5528,                               
  5.841399,    334.687,        120.5467,                               
  5.890486,    337.500,        120.3765,                               
  5.939574,    340.312,        120.5077,                               
  5.988661,    343.125,        120.4396,                               
  6.037748,    345.937,        120.5751,                               
  6.086836,    348.750,        120.3195,                               
  6.135923,    351.562,        120.2995,                               
  6.185010,    354.375,        120.5737,                               
  6.234098,    357.187,        120.1421,                               
