Area [mm2]:  27727.0
Equivalent area diameter [mm]:  187.891226131
Center of mass [pixel]:  314 , 199
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,        118.9995,                               
  0.049087,      2.812,        119.1436,                               
  0.098175,      5.625,        119.5765,                               
  0.147262,      8.438,        120.3030,                               
  0.196350,     11.250,        121.3322,                               
  0.245437,     14.062,        122.6772,                               
  0.294524,     16.875,        124.3553,                               
  0.343612,     19.687,        126.3853,                               
  0.392699,     22.500,        128.8087,                               
  0.441786,     25.312,        131.6913,                               
  0.490874,     28.125,        125.1558,                               
  0.539961,     30.937,        114.7597,                               
  0.589049,     33.750,        106.1945,                               
  0.638136,     36.562,         99.0410,                               
  0.687223,     39.375,         93.0004,                               
  0.736311,     42.187,         87.8537,                               
  0.785398,     45.000,         83.4373,                               
  0.834486,     47.812,         79.6263,                               
  0.883573,     50.625,         76.3241,                               
  0.932660,     53.438,         73.4547,                               
  0.981748,     56.250,         70.9581,                               
  1.030835,     59.062,         68.7858,                               
  1.079922,     61.875,         66.8990,                               
  1.129010,     64.687,         65.2659,                               
  1.178097,     67.500,         63.8609,                               
  1.227185,     70.312,         62.6629,                               
  1.276272,     73.125,         61.6547,                               
  1.325359,     75.937,         60.8228,                               
  1.374447,     78.750,         60.1559,                               
  1.423534,     81.562,         59.6457,                               
  1.472622,     84.375,         59.2856,                               
  1.521709,     87.188,         59.0714,                               
  1.570796,     90.000,         59.0003,                               
  1.619884,     92.812,         59.0715,                               
  1.668971,     95.625,         59.2859,                               
  1.718058,     98.437,         59.6460,                               
  1.767146,    101.250,         60.1564,                               
  1.816233,    104.062,         60.8234,                               
  1.865321,    106.875,         61.6555,                               
  1.914408,    109.687,         62.6638,                               
  1.963495,    112.500,         63.8620,                               
  2.012583,    115.312,         65.2672,                               
  2.061670,    118.125,         66.9004,                               
  2.110758,    120.937,         68.7875,                               
  2.159845,    123.750,         70.9600,                               
  2.208932,    126.562,         73.4569,                               
  2.258020,    129.375,         76.3266,                               
  2.307107,    132.188,         79.6292,                               
  2.356194,    135.000,         83.4404,                               
  2.405282,    137.812,         87.8558,                               
  2.454369,    140.625,         93.0012,                               
  2.503457,    143.437,         99.0402,                               
  2.552544,    146.250,        106.1915,                               
  2.601631,    149.062,        114.7539,                               
  2.650719,    151.875,        125.2306,                               
  2.699806,    154.688,        130.4913,                               
  2.748893,    157.500,        127.7439,                               
  2.797981,    160.312,        125.3381,                               
  2.847068,    163.125,        123.3129,                               
  2.896156,    165.938,        121.6410,                               
  2.945243,    168.750,        120.3081,                               
  2.994330,    171.562,        119.2884,                               
  3.043418,    174.375,        118.5690,                               
  3.092505,    177.187,        118.1411,                               
  3.141593,    180.000,        117.9996,                               
  3.190680,    182.812,        118.1427,                               
  3.239767,    185.625,        118.5721,                               
  3.288855,    188.437,        119.2924,                               
  3.337942,    191.250,        120.3126,                               
  3.387030,    194.062,        121.6460,                               
  3.436117,    196.875,        123.3096,                               
  3.485204,    199.688,        125.3241,                               
  3.534292,    202.500,        127.7288,                               
  3.583379,    205.312,        130.4106,                               
  3.632467,    208.125,        123.0370,                               
  3.681554,    210.937,        112.8168,                               
  3.730641,    213.750,        104.3965,                               
  3.779729,    216.562,         97.3640,                               
  3.828816,    219.375,         91.4256,                               
  3.877903,    222.187,         86.3661,                               
  3.926991,    225.000,         82.0244,                               
  3.976078,    227.812,         78.2779,                               
  4.025166,    230.625,         75.0315,                               
  4.074253,    233.438,         72.2108,                               
  4.123340,    236.250,         69.7564,                               
  4.172428,    239.062,         67.6209,                               
  4.221515,    241.875,         65.7660,                               
  4.270603,    244.688,         64.1606,                               
  4.319690,    247.500,         62.7793,                               
  4.368777,    250.312,         61.6015,                               
  4.417865,    253.125,         60.6105,                               
  4.466952,    255.937,         59.7926,                               
  4.516039,    258.750,         59.1370,                               
  4.565127,    261.562,         58.6354,                               
  4.614214,    264.375,         58.2814,                               
  4.663301,    267.187,         58.0708,                               
  4.712389,    270.000,         58.0009,                               
  4.761477,    272.812,         58.0709,                               
  4.810564,    275.625,         58.2816,                               
  4.859651,    278.437,         58.6357,                               
  4.908739,    281.250,         59.1374,                               
  4.957826,    284.062,         59.7930,                               
  5.006913,    286.875,         60.6110,                               
  5.056001,    289.688,         61.6022,                               
  5.105088,    292.500,         62.7801,                               
  5.154175,    295.312,         64.1615,                               
  5.203263,    298.125,         65.7670,                               
  5.252350,    300.938,         67.6221,                               
  5.301437,    303.750,         69.7578,                               
  5.350525,    306.562,         72.2124,                               
  5.399612,    309.375,         75.0334,                               
  5.448700,    312.188,         78.2800,                               
  5.497787,    315.000,         82.0269,                               
  5.546875,    317.812,         86.3661,                               
  5.595962,    320.625,         91.4221,                               
  5.645049,    323.437,         97.3558,                               
  5.694137,    326.250,        104.3823,                               
  5.743224,    329.062,        112.7947,                               
  5.792312,    331.875,        123.1830,                               
  5.841399,    334.687,        131.6460,                               
  5.890486,    337.500,        128.8221,                               
  5.939574,    340.312,        126.3984,                               
  5.988661,    343.125,        124.3583,                               
  6.037748,    345.937,        122.6739,                               
  6.086836,    348.750,        121.3285,                               
  6.135923,    351.562,        120.2999,                               
  6.185010,    354.375,        119.5742,                               
  6.234098,    357.187,        119.1425,                               
