Area [mm2]:  28201.0
Equivalent area diameter [mm]:  189.490444089
Center of mass [pixel]:  314 , 199
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,        118.0002,                               
  0.049087,      2.812,        118.1426,                               
  0.098175,      5.625,        118.5713,                               
  0.147262,      8.438,        119.2915,                               
  0.196350,     11.250,        120.3122,                               
  0.245437,     14.062,        121.6460,                               
  0.294524,     16.875,        123.3092,                               
  0.343612,     19.687,        125.3242,                               
  0.392699,     22.500,        127.7190,                               
  0.441786,     25.312,        130.5670,                               
  0.490874,     28.125,        127.2908,                               
  0.539961,     30.937,        116.7071,                               
  0.589049,     33.750,        107.9965,                               
  0.638136,     36.562,        100.7217,                               
  0.687223,     39.375,         94.5785,                               
  0.736311,     42.187,         89.3445,                               
  0.785398,     45.000,         84.8531,                               
  0.834486,     47.812,         80.9773,                               
  0.883573,     50.625,         77.6189,                               
  0.932660,     53.438,         74.7007,                               
  0.981748,     56.250,         72.1615,                               
  1.030835,     59.062,         69.9523,                               
  1.079922,     61.875,         68.0333,                               
  1.129010,     64.687,         66.3725,                               
  1.178097,     67.500,         64.9435,                               
  1.227185,     70.312,         63.7250,                               
  1.276272,     73.125,         62.6997,                               
  1.325359,     75.937,         61.8536,                               
  1.374447,     78.750,         61.1753,                               
  1.423534,     81.562,         60.6563,                               
  1.472622,     84.375,         60.2901,                               
  1.521709,     87.188,         60.0721,                               
  1.570796,     90.000,         59.9997,                               
  1.619884,     92.812,         60.0721,                               
  1.668971,     95.625,         60.2900,                               
  1.718058,     98.437,         60.6562,                               
  1.767146,    101.250,         61.1751,                               
  1.816233,    104.062,         61.8533,                               
  1.865321,    106.875,         62.6994,                               
  1.914408,    109.687,         63.7246,                               
  1.963495,    112.500,         64.9430,                               
  2.012583,    115.312,         66.3719,                               
  2.061670,    118.125,         68.0332,                               
  2.110758,    120.937,         69.9531,                               
  2.159845,    123.750,         72.1634,                               
  2.208932,    126.562,         74.7038,                               
  2.258020,    129.375,         77.6233,                               
  2.307107,    132.188,         80.9797,                               
  2.356194,    135.000,         84.8481,                               
  2.405282,    137.812,         89.3307,                               
  2.454369,    140.625,         94.5538,                               
  2.503457,    143.437,        100.7357,                               
  2.552544,    146.250,        108.0694,                               
  2.601631,    149.062,        116.7320,                               
  2.650719,    151.875,        126.9995,                               
  2.699806,    154.688,        131.6935,                               
  2.748893,    157.500,        128.8041,                               
  2.797981,    160.312,        126.3875,                               
  2.847068,    163.125,        124.3547,                               
  2.896156,    165.938,        122.6766,                               
  2.945243,    168.750,        121.3313,                               
  2.994330,    171.562,        120.3017,                               
  3.043418,    174.375,        119.5754,                               
  3.092505,    177.187,        119.1434,                               
  3.141593,    180.000,        119.0001,                               
  3.190680,    182.812,        119.1438,                               
  3.239767,    185.625,        119.5763,                               
  3.288855,    188.437,        120.3029,                               
  3.337942,    191.250,        121.3324,                               
  3.387030,    194.062,        122.6774,                               
  3.436117,    196.875,        124.3533,                               
  3.485204,    199.688,        126.3844,                               
  3.534292,    202.500,        128.7983,                               
  3.583379,    205.312,        131.7185,                               
  3.632467,    208.125,        125.1881,                               
  3.681554,    210.937,        114.7589,                               
  3.730641,    213.750,        106.1945,                               
  3.779729,    216.562,         99.0418,                               
  3.828816,    219.375,         93.0016,                               
  3.877903,    222.187,         87.8554,                               
  3.926991,    225.000,         83.4393,                               
  3.976078,    227.812,         79.6280,                               
  4.025166,    230.625,         76.3255,                               
  4.074253,    233.438,         73.4559,                               
  4.123340,    236.250,         70.9591,                               
  4.172428,    239.062,         68.7867,                               
  4.221515,    241.875,         66.8997,                               
  4.270603,    244.688,         65.2665,                               
  4.319690,    247.500,         63.8614,                               
  4.368777,    250.312,         62.6632,                               
  4.417865,    253.125,         61.6550,                               
  4.466952,    255.937,         60.8229,                               
  4.516039,    258.750,         60.1560,                               
  4.565127,    261.562,         59.6457,                               
  4.614214,    264.375,         59.2856,                               
  4.663301,    267.187,         59.0712,                               
  4.712389,    270.000,         59.0000,                               
  4.761477,    272.812,         59.0712,                               
  4.810564,    275.625,         59.2855,                               
  4.859651,    278.437,         59.6455,                               
  4.908739,    281.250,         60.1558,                               
  4.957826,    284.062,         60.8227,                               
  5.006913,    286.875,         61.6547,                               
  5.056001,    289.688,         62.6629,                               
  5.105088,    292.500,         63.8610,                               
  5.154175,    295.312,         65.2661,                               
  5.203263,    298.125,         66.8992,                               
  5.252350,    300.938,         68.7862,                               
  5.301437,    303.750,         70.9586,                               
  5.350525,    306.562,         73.4554,                               
  5.399612,    309.375,         76.3249,                               
  5.448700,    312.188,         79.6273,                               
  5.497787,    315.000,         83.4386,                               
  5.546875,    317.812,         87.8553,                               
  5.595962,    320.625,         93.0023,                               
  5.645049,    323.437,         99.0433,                               
  5.694137,    326.250,        106.1972,                               
  5.743224,    329.062,        114.7631,                               
  5.792312,    331.875,        125.1548,                               
  5.841399,    334.687,        130.5323,                               
  5.890486,    337.500,        127.7221,                               
  5.939574,    340.312,        125.3259,                               
  5.988661,    343.125,        123.3096,                               
  6.037748,    345.937,        121.6456,                               
  6.086836,    348.750,        120.3118,                               
  6.135923,    351.562,        119.2912,                               
  6.185010,    354.375,        118.5711,                               
  6.234098,    357.187,        118.1425,                               
