Area [mm2]:  37411.0
Equivalent area diameter [mm]:  218.250233924
Center of mass [pixel]:  314 , 215
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,        120.0029,                               
  0.049087,      2.812,        118.0595,                               
  0.098175,      5.625,        115.2259,                               
  0.147262,      8.438,        112.6730,                               
  0.196350,     11.250,        110.6351,                               
  0.245437,     14.062,        108.8520,                               
  0.294524,     16.875,        107.7695,                               
  0.343612,     19.687,        106.4924,                               
  0.392699,     22.500,        105.6490,                               
  0.441786,     25.312,        105.3422,                               
  0.490874,     28.125,        104.9344,                               
  0.539961,     30.937,        104.8279,                               
  0.589049,     33.750,        105.2051,                               
  0.638136,     36.562,        105.6144,                               
  0.687223,     39.375,        106.1965,                               
  0.736311,     42.187,        107.4856,                               
  0.785398,     45.000,        108.6994,                               
  0.834486,     47.812,        110.1823,                               
  0.883573,     50.625,        111.8518,                               
  0.932660,     53.438,        114.3664,                               
  0.981748,     56.250,        117.1249,                               
  1.030835,     59.062,        120.2328,                               
  1.079922,     61.875,        117.9243,                               
  1.129010,     64.687,        115.0456,                               
  1.178097,     67.500,        112.5688,                               
  1.227185,     70.312,        110.4569,                               
  1.276272,     73.125,        108.6797,                               
  1.325359,     75.937,        107.2130,                               
  1.374447,     78.750,        106.0375,                               
  1.423534,     81.562,        105.1380,                               
  1.472622,     84.375,        104.5032,                               
  1.521709,     87.188,        104.1254,                               
  1.570796,     90.000,        104.0000,                               
  1.619884,     92.812,        104.1254,                               
  1.668971,     95.625,        104.5032,                               
  1.718058,     98.437,        105.1380,                               
  1.767146,    101.250,        106.0375,                               
  1.816233,    104.062,        107.2130,                               
  1.865321,    106.875,        108.6797,                               
  1.914408,    109.687,        110.4569,                               
  1.963495,    112.500,        112.5688,                               
  2.012583,    115.312,        115.0460,                               
  2.061670,    118.125,        117.9224,                               
  2.110758,    120.937,        119.0472,                               
  2.159845,    123.750,        116.0426,                               
  2.208932,    126.562,        113.5457,                               
  2.258020,    129.375,        110.8910,                               
  2.307107,    132.188,        109.0876,                               
  2.356194,    135.000,        107.7219,                               
  2.405282,    137.812,        106.2140,                               
  2.454369,    140.625,        105.2427,                               
  2.503457,    143.437,        104.6897,                               
  2.552544,    146.250,        104.4659,                               
  2.601631,    149.062,        103.7571,                               
  2.650719,    151.875,        104.0377,                               
  2.699806,    154.688,        104.4127,                               
  2.748893,    157.500,        104.8638,                               
  2.797981,    160.312,        105.5969,                               
  2.847068,    163.125,        106.7190,                               
  2.896156,    165.938,        108.0131,                               
  2.945243,    168.750,        109.7354,                               
  2.994330,    171.562,        111.7953,                               
  3.043418,    174.375,        114.2148,                               
  3.092505,    177.187,        117.0427,                               
  3.141593,    180.000,        119.0115,                               
  3.190680,    182.812,        116.4037,                               
  3.239767,    185.625,        113.4377,                               
  3.288855,    188.437,        111.3101,                               
  3.337942,    191.250,        109.1505,                               
  3.387030,    194.062,        107.3463,                               
  3.436117,    196.875,        106.4438,                               
  3.485204,    199.688,        105.1320,                               
  3.534292,    202.500,        104.1419,                               
  3.583379,    205.312,        103.6598,                               
  3.632467,    208.125,        103.5434,                               
  3.681554,    210.937,        103.4502,                               
  3.730641,    213.750,        103.4280,                               
  3.779729,    216.562,        104.2559,                               
  3.828816,    219.375,        104.8405,                               
  3.877903,    222.187,        105.6458,                               
  3.926991,    225.000,        107.2625,                               
  3.976078,    227.812,        108.7483,                               
  4.025166,    230.625,        110.3811,                               
  4.074253,    233.438,        112.5693,                               
  4.123340,    236.250,        115.3479,                               
  4.172428,    239.062,        118.4934,                               
  4.221515,    241.875,        116.7905,                               
  4.270603,    244.688,        113.9394,                               
  4.319690,    247.500,        111.4864,                               
  4.368777,    250.312,        109.3948,                               
  4.417865,    253.125,        107.6347,                               
  4.466952,    255.937,        106.1821,                               
  4.516039,    258.750,        105.0179,                               
  4.565127,    261.562,        104.1270,                               
  4.614214,    264.375,        103.4984,                               
  4.663301,    267.187,        103.1242,                               
  4.712389,    270.000,        103.0000,                               
  4.761477,    272.812,        103.1242,                               
  4.810564,    275.625,        103.4984,                               
  4.859651,    278.437,        104.1270,                               
  4.908739,    281.250,        105.0179,                               
  4.957826,    284.062,        106.1821,                               
  5.006913,    286.875,        107.6347,                               
  5.056001,    289.688,        109.3947,                               
  5.105088,    292.500,        111.4864,                               
  5.154175,    295.312,        113.9397,                               
  5.203263,    298.125,        116.7890,                               
  5.252350,    300.938,        119.5070,                               
  5.301437,    303.750,        116.1081,                               
  5.350525,    306.562,        113.6094,                               
  5.399612,    309.375,        111.4492,                               
  5.448700,    312.188,        109.7066,                               
  5.497787,    315.000,        108.1398,                               
  5.546875,    317.812,        106.6360,                               
  5.595962,    320.625,        105.7664,                               
  5.645049,    323.437,        105.0542,                               
  5.694137,    326.250,        104.5442,                               
  5.743224,    329.062,        104.2810,                               
  5.792312,    331.875,        104.4782,                               
  5.841399,    334.687,        104.4322,                               
  5.890486,    337.500,        105.0669,                               
  5.939574,    340.312,        106.1545,                               
  5.988661,    343.125,        107.3812,                               
  6.037748,    345.937,        108.2743,                               
  6.086836,    348.750,        110.1667,                               
  6.135923,    351.562,        112.1798,                               
  6.185010,    354.375,        114.3595,                               
  6.234098,    357.187,        117.3619,                               
