Area [mm2]:  37885.0
Equivalent area diameter [mm]:  219.628504872
Center of mass [pixel]:  314 , 217
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,        108.0000,                               
  0.049087,      2.812,        106.2153,                               
  0.098175,      5.625,        105.4754,                               
  0.147262,      8.438,        104.2812,                               
  0.196350,     11.250,        103.6679,                               
  0.245437,     14.062,        103.0815,                               
  0.294524,     16.875,        102.6762,                               
  0.343612,     19.687,        102.8823,                               
  0.392699,     22.500,        102.8794,                               
  0.441786,     25.312,        103.5745,                               
  0.490874,     28.125,        104.4978,                               
  0.539961,     30.937,        105.6244,                               
  0.589049,     33.750,        106.9985,                               
  0.638136,     36.562,        108.4065,                               
  0.687223,     39.375,        110.1884,                               
  0.736311,     42.187,        112.6057,                               
  0.785398,     45.000,        115.2838,                               
  0.834486,     47.812,        118.7706,                               
  0.883573,     50.625,        122.1793,                               
  0.932660,     53.438,        125.8236,                               
  0.981748,     56.250,        122.6726,                               
  1.030835,     59.062,        118.9190,                               
  1.079922,     61.875,        115.6567,                               
  1.129010,     64.687,        112.8332,                               
  1.178097,     67.500,        110.4039,                               
  1.227185,     70.312,        108.3327,                               
  1.276272,     73.125,        106.5897,                               
  1.325359,     75.937,        105.1513,                               
  1.374447,     78.750,        103.9983,                               
  1.423534,     81.562,        103.1161,                               
  1.472622,     84.375,        102.4935,                               
  1.521709,     87.188,        102.1230,                               
  1.570796,     90.000,        102.0000,                               
  1.619884,     92.812,        102.1230,                               
  1.668971,     95.625,        102.4935,                               
  1.718058,     98.437,        103.1161,                               
  1.767146,    101.250,        103.9983,                               
  1.816233,    104.062,        105.1513,                               
  1.865321,    106.875,        106.5897,                               
  1.914408,    109.687,        108.3327,                               
  1.963495,    112.500,        110.4040,                               
  2.012583,    115.312,        112.8336,                               
  2.061670,    118.125,        115.6561,                               
  2.110758,    120.937,        118.9170,                               
  2.159845,    123.750,        122.6799,                               
  2.208932,    126.562,        125.0880,                               
  2.258020,    129.375,        121.2848,                               
  2.307107,    132.188,        117.2955,                               
  2.356194,    135.000,        114.2806,                               
  2.405282,    137.812,        111.7055,                               
  2.454369,    140.625,        109.4084,                               
  2.503457,    143.437,        107.3121,                               
  2.552544,    146.250,        105.8542,                               
  2.601631,    149.062,        104.7819,                               
  2.650719,    151.875,        103.2206,                               
  2.699806,    154.688,        102.6355,                               
  2.748893,    157.500,        101.9297,                               
  2.797981,    160.312,        101.9010,                               
  2.847068,    163.125,        101.8358,                               
  2.896156,    165.938,        102.0868,                               
  2.945243,    168.750,        102.7759,                               
  2.994330,    171.562,        103.3206,                               
  3.043418,    174.375,        104.4712,                               
  3.092505,    177.187,        105.2436,                               
  3.141593,    180.000,        107.0000,                               
  3.190680,    182.812,        109.0108,                               
  3.239767,    185.625,        111.3703,                               
  3.288855,    188.437,        113.8672,                               
  3.337942,    191.250,        116.9060,                               
  3.387030,    194.062,        120.4931,                               
  3.436117,    196.875,        124.1191,                               
  3.485204,    199.688,        122.9181,                               
  3.534292,    202.500,        119.3360,                               
  3.583379,    205.312,        115.6966,                               
  3.632467,    208.125,        113.0295,                               
  3.681554,    210.937,        110.6943,                               
  3.730641,    213.750,        108.3490,                               
  3.779729,    216.562,        106.5107,                               
  3.828816,    219.375,        105.1558,                               
  3.877903,    222.187,        103.9952,                               
  3.926991,    225.000,        102.9773,                               
  3.976078,    227.812,        102.5158,                               
  4.025166,    230.625,        101.6679,                               
  4.074253,    233.438,        101.5520,                               
  4.123340,    236.250,        101.7154,                               
  4.172428,    239.062,        102.0505,                               
  4.221515,    241.875,        102.7187,                               
  4.270603,    244.688,        103.5400,                               
  4.319690,    247.500,        104.6977,                               
  4.368777,    250.312,        106.1705,                               
  4.417865,    253.125,        107.4444,                               
  4.466952,    255.937,        109.6397,                               
  4.516039,    258.750,        111.9594,                               
  4.565127,    261.562,        114.5157,                               
  4.614214,    264.375,        117.9558,                               
  4.663301,    267.187,        121.3367,                               
  4.712389,    270.000,        125.9706,                               
  4.761477,    272.812,        122.1701,                               
  4.810564,    275.625,        118.5547,                               
  4.859651,    278.437,        115.3148,                               
  4.908739,    281.250,        112.4513,                               
  4.957826,    284.062,        110.4658,                               
  5.006913,    286.875,        108.2440,                               
  5.056001,    289.688,        106.4929,                               
  5.105088,    292.500,        105.0793,                               
  5.154175,    295.312,        104.0457,                               
  5.203263,    298.125,        103.4279,                               
  5.252350,    300.938,        102.7795,                               
  5.301437,    303.750,        102.3664,                               
  5.350525,    306.562,        102.2143,                               
  5.399612,    309.375,        102.3242,                               
  5.448700,    312.188,        102.7824,                               
  5.497787,    315.000,        103.4701,                               
  5.546875,    317.812,        104.3493,                               
  5.595962,    320.625,        105.8522,                               
  5.645049,    323.437,        107.2349,                               
  5.694137,    326.250,        108.9386,                               
  5.743224,    329.062,        111.0878,                               
  5.792312,    331.875,        113.7973,                               
  5.841399,    334.687,        116.4277,                               
  5.890486,    337.500,        120.1630,                               
  5.939574,    340.312,        123.6150,                               
  5.988661,    343.125,        125.2823,                               
  6.037748,    345.937,        121.6052,                               
  6.086836,    348.750,        118.0681,                               
  6.135923,    351.562,        115.0023,                               
  6.185010,    354.375,        112.4248,                               
  6.234098,    357.187,        110.0219,                               
