Area [mm2]:  57119.0
Equivalent area diameter [mm]:  269.677899643
Center of mass [pixel]:  314 , 199
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,        120.0003,                               
  0.049087,      2.812,        120.1450,                               
  0.098175,      5.625,        120.5809,                               
  0.147262,      8.438,        121.3132,                               
  0.196350,     11.250,        122.3511,                               
  0.245437,     14.062,        123.7074,                               
  0.294524,     16.875,        125.3997,                               
  0.343612,     19.687,        127.4502,                               
  0.392699,     22.500,        129.8870,                               
  0.441786,     25.312,        132.7448,                               
  0.490874,     28.125,        136.0665,                               
  0.539961,     30.937,        139.9044,                               
  0.589049,     33.750,        144.3230,                               
  0.638136,     36.562,        149.4014,                               
  0.687223,     39.375,        155.2362,                               
  0.736311,     42.187,        161.9533,                               
  0.785398,     45.000,        168.7873,                               
  0.834486,     47.812,        161.9248,                               
  0.883573,     50.625,        155.2174,                               
  0.932660,     53.438,        149.3891,                               
  0.981748,     56.250,        144.3178,                               
  1.030835,     59.062,        139.9055,                               
  1.079922,     61.875,        136.0731,                               
  1.129010,     64.687,        132.7535,                               
  1.178097,     67.500,        129.8941,                               
  1.227185,     70.312,        127.4558,                               
  1.276272,     73.125,        125.4040,                               
  1.325359,     75.937,        123.7105,                               
  1.374447,     78.750,        122.3529,                               
  1.423534,     81.562,        121.3139,                               
  1.472622,     84.375,        120.5804,                               
  1.521709,     87.188,        120.1435,                               
  1.570796,     90.000,        119.9977,                               
  1.619884,     92.812,        120.1427,                               
  1.668971,     95.625,        120.5790,                               
  1.718058,     98.437,        121.3117,                               
  1.767146,    101.250,        122.3499,                               
  1.816233,    104.062,        123.7066,                               
  1.865321,    106.875,        125.3993,                               
  1.914408,    109.687,        127.4502,                               
  1.963495,    112.500,        129.8874,                               
  2.012583,    115.312,        132.7457,                               
  2.061670,    118.125,        136.0673,                               
  2.110758,    120.937,        139.9048,                               
  2.159845,    123.750,        144.3228,                               
  2.208932,    126.562,        149.4006,                               
  2.258020,    129.375,        155.2368,                               
  2.307107,    132.188,        161.9535,                               
  2.356194,    135.000,        168.2703,                               
  2.405282,    137.812,        160.5872,                               
  2.454369,    140.625,        153.9294,                               
  2.503457,    143.437,        148.1443,                               
  2.552544,    146.250,        143.1105,                               
  2.601631,    149.062,        138.7309,                               
  2.650719,    151.875,        134.9267,                               
  2.699806,    154.688,        131.6343,                               
  2.748893,    157.500,        128.8016,                               
  2.797981,    160.312,        126.3863,                               
  2.847068,    163.125,        124.3540,                               
  2.896156,    165.938,        122.6769,                               
  2.945243,    168.750,        121.3329,                               
  2.994330,    171.562,        120.3046,                               
  3.043418,    174.375,        119.5793,                               
  3.092505,    177.187,        119.1480,                               
  3.141593,    180.000,        119.0055,                               
  3.190680,    182.812,        119.1483,                               
  3.239767,    185.625,        119.5798,                               
  3.288855,    188.437,        120.3053,                               
  3.337942,    191.250,        121.3338,                               
  3.387030,    194.062,        122.6781,                               
  3.436117,    196.875,        124.3555,                               
  3.485204,    199.688,        126.3881,                               
  3.534292,    202.500,        128.8037,                               
  3.583379,    205.312,        131.6367,                               
  3.632467,    208.125,        134.9310,                               
  3.681554,    210.937,        138.7381,                               
  3.730641,    213.750,        143.1211,                               
  3.779729,    216.562,        148.1586,                               
  3.828816,    219.375,        153.9372,                               
  3.877903,    222.187,        160.6648,                               
  3.926991,    225.000,        167.8159,                               
  3.976078,    227.812,        160.6044,                               
  4.025166,    230.625,        153.9436,                               
  4.074253,    233.438,        148.1560,                               
  4.123340,    236.250,        143.1201,                               
  4.172428,    239.062,        138.7385,                               
  4.221515,    241.875,        134.9327,                               
  4.270603,    244.688,        131.6387,                               
  4.319690,    247.500,        128.8047,                               
  4.368777,    250.312,        126.3881,                               
  4.417865,    253.125,        124.3547,                               
  4.466952,    255.937,        122.6765,                               
  4.516039,    258.750,        121.3313,                               
  4.565127,    261.562,        120.3021,                               
  4.614214,    264.375,        119.5758,                               
  4.663301,    267.187,        119.1435,                               
  4.712389,    270.000,        119.0000,                               
  4.761477,    272.812,        119.1435,                               
  4.810564,    275.625,        119.5758,                               
  4.859651,    278.437,        120.3021,                               
  4.908739,    281.250,        121.3314,                               
  4.957826,    284.062,        122.6765,                               
  5.006913,    286.875,        124.3547,                               
  5.056001,    289.688,        126.3881,                               
  5.105088,    292.500,        128.8045,                               
  5.154175,    295.312,        131.6385,                               
  5.203263,    298.125,        134.9325,                               
  5.252350,    300.938,        138.7388,                               
  5.301437,    303.750,        143.1208,                               
  5.350525,    306.562,        148.1572,                               
  5.399612,    309.375,        153.9401,                               
  5.448700,    312.188,        160.6149,                               
  5.497787,    315.000,        167.5684,                               
  5.546875,    317.812,        161.9395,                               
  5.595962,    320.625,        155.2278,                               
  5.645049,    323.437,        149.3959,                               
  5.694137,    326.250,        144.3215,                               
  5.743224,    329.062,        139.9064,                               
  5.792312,    331.875,        136.0715,                               
  5.841399,    334.687,        132.7510,                               
  5.890486,    337.500,        129.8911,                               
  5.939574,    340.312,        127.4523,                               
  5.988661,    343.125,        125.4000,                               
  6.037748,    345.937,        123.7060,                               
  6.086836,    348.750,        122.3496,                               
  6.135923,    351.562,        121.3121,                               
  6.185010,    354.375,        120.5801,                               
  6.234098,    357.187,        120.1446,                               
