Area [mm2]:  24922.0
Equivalent area diameter [mm]:  178.133870822
Center of mass [pixel]:  314 , 249
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,         80.0000,                               
  0.049087,      2.812,         82.3790,                               
  0.098175,      5.625,         85.4185,                               
  0.147262,      8.438,         88.7272,                               
  0.196350,     11.250,         91.9984,                               
  0.245437,     14.062,         96.3033,                               
  0.294524,     16.875,        101.2923,                               
  0.343612,     19.687,        107.2028,                               
  0.392699,     22.500,        113.6183,                               
  0.441786,     25.312,        121.7295,                               
  0.490874,     28.125,        131.2939,                               
  0.539961,     30.937,        136.1494,                               
  0.589049,     33.750,        125.9968,                               
  0.638136,     36.562,        117.5090,                               
  0.687223,     39.375,        110.3416,                               
  0.736311,     42.187,        104.2351,                               
  0.785398,     45.000,         98.9949,                               
  0.834486,     47.812,         94.4732,                               
  0.883573,     50.625,         90.5550,                               
  0.932660,     53.438,         87.1506,                               
  0.981748,     56.250,         84.1883,                               
  1.030835,     59.062,         81.6109,                               
  1.079922,     61.875,         79.3722,                               
  1.129010,     64.687,         77.4345,                               
  1.178097,     67.500,         75.7675,                               
  1.227185,     70.312,         74.3460,                               
  1.276272,     73.125,         73.1498,                               
  1.325359,     75.937,         72.1626,                               
  1.374447,     78.750,         71.3714,                               
  1.423534,     81.562,         70.7659,                               
  1.472622,     84.375,         70.3387,                               
  1.521709,     87.188,         70.0844,                               
  1.570796,     90.000,         70.0000,                               
  1.619884,     92.812,         70.0844,                               
  1.668971,     95.625,         70.3387,                               
  1.718058,     98.437,         70.7659,                               
  1.767146,    101.250,         71.3714,                               
  1.816233,    104.062,         72.1626,                               
  1.865321,    106.875,         73.1498,                               
  1.914408,    109.687,         74.3460,                               
  1.963495,    112.500,         75.7675,                               
  2.012583,    115.312,         77.4345,                               
  2.061670,    118.125,         79.3722,                               
  2.110758,    120.937,         81.6109,                               
  2.159845,    123.750,         84.1883,                               
  2.208932,    126.562,         87.1506,                               
  2.258020,    129.375,         90.5550,                               
  2.307107,    132.188,         94.4732,                               
  2.356194,    135.000,         98.9949,                               
  2.405282,    137.812,        104.2351,                               
  2.454369,    140.625,        110.3416,                               
  2.503457,    143.437,        117.5089,                               
  2.552544,    146.250,        125.9966,                               
  2.601631,    149.062,        136.1416,                               
  2.650719,    151.875,        129.5021,                               
  2.699806,    154.688,        119.7803,                               
  2.748893,    157.500,        112.2851,                               
  2.797981,    160.312,        105.7962,                               
  2.847068,    163.125,        100.0866,                               
  2.896156,    165.938,         95.0138,                               
  2.945243,    168.750,         90.8612,                               
  2.994330,    171.562,         87.6525,                               
  3.043418,    174.375,         84.3988,                               
  3.092505,    177.187,         81.3358,                               
  3.141593,    180.000,         79.0000,                               
  3.190680,    182.812,         77.0385,                               
  3.239767,    185.625,         75.0368,                               
  3.288855,    188.437,         73.6450,                               
  3.337942,    191.250,         72.2941,                               
  3.387030,    194.062,         71.2016,                               
  3.436117,    196.875,         70.1165,                               
  3.485204,    199.688,         69.5977,                               
  3.534292,    202.500,         68.9137,                               
  3.583379,    205.312,         68.6052,                               
  3.632467,    208.125,         68.6805,                               
  3.681554,    210.937,         68.4030,                               
  3.730641,    213.750,         68.7296,                               
  3.779729,    216.562,         68.7044,                               
  3.828816,    219.375,         69.5795,                               
  3.877903,    222.187,         69.9234,                               
  3.926991,    225.000,         70.9487,                               
  3.976078,    227.812,         71.6340,                               
  4.025166,    230.625,         73.1974,                               
  4.074253,    233.438,         74.4181,                               
  4.123340,    236.250,         76.4364,                               
  4.172428,    239.062,         78.1117,                               
  4.221515,    241.875,         80.5450,                               
  4.270603,    244.688,         83.2832,                               
  4.319690,    247.500,         86.0714,                               
  4.368777,    250.312,         89.9320,                               
  4.417865,    253.125,         93.7913,                               
  4.466952,    255.937,         98.5249,                               
  4.516039,    258.750,        103.9204,                               
  4.565127,    261.562,        110.1461,                               
  4.614214,    264.375,        117.1791,                               
  4.663301,    267.187,        126.1997,                               
  4.712389,    270.000,        137.0069,                               
  4.761477,    272.812,        128.0270,                               
  4.810564,    275.625,        118.8491,                               
  4.859651,    278.437,        111.7719,                               
  4.908739,    281.250,        105.3503,                               
  4.957826,    284.062,         99.7337,                               
  5.006913,    286.875,         95.2641,                               
  5.056001,    289.688,         90.7669,                               
  5.105088,    292.500,         87.2926,                               
  5.154175,    295.312,         84.4380,                               
  5.203263,    298.125,         81.3276,                               
  5.252350,    300.938,         79.3495,                               
  5.301437,    303.750,         77.4755,                               
  5.350525,    306.562,         75.5100,                               
  5.399612,    309.375,         74.1569,                               
  5.448700,    312.188,         72.7206,                               
  5.497787,    315.000,         71.8882,                               
  5.546875,    317.812,         70.7878,                               
  5.595962,    320.625,         70.3186,                               
  5.645049,    323.437,         69.6617,                               
  5.694137,    326.250,         69.6300,                               
  5.743224,    329.062,         69.2782,                               
  5.792312,    331.875,         69.4421,                               
  5.841399,    334.687,         69.6057,                               
  5.890486,    337.500,         69.7144,                               
  5.939574,    340.312,         70.4937,                               
  5.988661,    343.125,         71.3359,                               
  6.037748,    345.937,         72.1730,                               
  6.086836,    348.750,         73.1568,                               
  6.135923,    351.562,         74.5904,                               
  6.185010,    354.375,         75.9586,                               
  6.234098,    357.187,         78.0288,                               
